keep_length,length_average,keep_num
0.0,22301.644486759702,3.0
0.0,22301.644486759702,3.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,9886.783705079628,1.0
0.0,9886.783705079628,1.0
0.0,19203.28297841455,2.0
0.0,9316.499273334923,1.0
0.0,9316.499273334923,1.0
0.0,9316.499273334923,1.0
0.0,9316.499273334923,1.0
0.0,9316.499273334923,1.0
0.0,9316.499273334923,1.0
0.0,55792.59846566746,6.0
0.0,9316.499273334923,1.0
0.0,9316.499273334923,1.0
0.0,9316.499273334923,1.0
0.0,9316.499273334923,1.0
0.0,9316.499273334923,1.0
0.0,9316.499273334923,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,22301.644486759702,3.0
0.0,16366.604899331089,2.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,9886.783705079628,1.0
0.0,143446.77995597175,14.0
0.0,143446.77995597175,14.0
0.0,124243.49697755722,12.0
0.0,124243.49697755722,12.0
0.0,124243.49697755722,12.0
0.0,124243.49697755722,12.0
0.0,124243.49697755722,12.0
0.0,124243.49697755722,12.0
0.0,153060.834951283,16.0
0.0,126056.07474585038,14.0
0.0,126151.81733120437,14.0
0.0,50788.721902376004,6.0
0.0,50788.721902376004,6.0
0.0,45599.241716441094,5.0
0.0,54915.740989776015,6.0
0.0,54915.740989776015,6.0
0.0,54915.740989776015,6.0
0.0,18213.770697468753,2.0
0.0,9316.499273334923,1.0
0.0,9316.499273334923,1.0
0.0,22301.644486759702,3.0
0.0,7275.380281308635,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,19203.28297841455,2.0
0.0,143446.77995597175,14.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,15974.928669175766,2.0
0.0,15529.906179072324,2.0
0.0,119726.31397797837,13.0
0.0,109290.14539948694,12.0
0.0,15049.760852692147,2.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,45599.241716441094,5.0
0.0,45599.241716441094,5.0
0.0,45599.241716441094,5.0
0.0,54915.740989776015,6.0
0.0,22301.644486759702,3.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,88392.8786989526,9.0
0.0,139163.0503138842,14.0
0.0,5032.769631247324,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,15974.928669175766,2.0
0.0,20560.98167529327,3.0
0.0,15529.906179072324,2.0
0.0,109290.14539948694,12.0
0.0,109290.14539948694,12.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,39337.14676624431,4.0
0.0,35278.064592889205,4.0
0.0,5935.039587428613,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,143446.77995597175,14.0
0.0,60086.67088826652,6.0
0.0,5032.769631247324,1.0
0.0,5032.769631247324,1.0
0.0,42693.685079057235,6.0
0.0,48994.52610132811,6.0
0.0,48994.52610132811,6.0
0.0,48994.52610132811,6.0
0.0,48994.52610132811,6.0
0.0,58340.52508815393,7.0
0.0,20926.391406527517,3.0
0.0,10436.168578491412,1.0
0.0,0.0,0.0
0.0,109290.14539948694,12.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,39337.14676624431,4.0
0.0,44940.19078695889,5.0
0.0,76154.12904392133,9.0
0.0,24346.52059347993,3.0
0.0,24346.52059347993,3.0
0.0,24346.52059347993,3.0
0.0,24346.52059347993,3.0
0.0,19203.28297841455,2.0
0.0,9316.499273334923,1.0
0.0,0.0,0.0
0.0,9316.499273334923,1.0
0.0,150722.1602372804,15.0
0.0,207813.39483153954,30.0
0.0,202780.6252002922,29.0
0.0,208579.439957581,30.0
0.0,221107.12300635394,32.0
0.0,81792.46254676089,10.0
0.0,266689.99412390665,41.0
0.0,270435.85588221584,42.0
0.0,270435.85588221584,42.0
0.0,53083.2096164296,7.0
0.0,20926.391406527517,3.0
0.0,10436.168578491412,1.0
0.0,0.0,0.0
0.0,109290.14539948694,12.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,39337.14676624431,4.0
0.0,53067.632445644005,6.0
0.0,189784.93881951892,20.0
0.0,146548.89857901086,15.0
0.0,146548.89857901086,15.0
0.0,146548.89857901086,15.0
0.0,139398.0978403339,14.0
0.0,134254.86022526852,13.0
0.0,143571.35949860341,14.0
0.0,143571.35949860341,14.0
0.0,143571.35949860341,14.0
0.0,134254.86022526852,13.0
0.0,206336.82930751966,30.0
0.0,15730.951946878838,2.0
0.0,19476.813705188073,3.0
0.0,159592.49075135178,25.0
0.0,270435.85588221584,42.0
0.0,275945.79344330594,43.0
0.0,24796.00188702093,4.0
0.0,275945.79344330594,43.0
0.0,344642.1193790414,53.0
0.0,82976.72647709504,12.0
0.0,60429.35229793901,8.0
0.0,18085.54905663783,3.0
0.0,109290.14539948694,12.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,39337.14676624431,4.0
0.0,96605.75601728968,9.0
0.0,177961.88729639244,17.0
0.0,7150.8007386769905,1.0
0.0,10180.349132319556,1.0
0.0,17331.149870996545,2.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,24521.792257678666,3.0
0.0,69301.80973293126,7.0
0.0,0.0,0.0
0.0,211793.54366078286,31.0
0.0,5456.714353263183,1.0
0.0,5456.714353263183,1.0
0.0,16697.489529098064,3.0
0.0,90040.5182537825,15.0
0.0,5509.937561090118,1.0
0.0,5509.937561090118,1.0
0.0,5509.937561090118,1.0
0.0,287185.4083551276,45.0
0.0,0.0,0.0
0.0,54919.41473684889,7.0
0.0,31968.786817047556,5.0
0.0,124842.91472314775,14.0
0.0,5189.480185934913,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,39337.14676624431,4.0
0.0,203138.31560679578,19.0
0.0,150288.4922234009,14.0
0.0,7150.8007386769905,1.0
0.0,17331.149870996545,2.0
0.0,17331.149870996545,2.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,5456.714353263183,1.0
0.0,217317.719090256,32.0
0.0,5524.175429473153,1.0
0.0,5524.175429473153,1.0
0.0,11240.775175834882,2.0
0.0,90040.5182537825,15.0
0.0,5509.937561090118,1.0
0.0,5509.937561090118,1.0
0.0,0.0,0.0
0.0,287185.4083551276,45.0
0.0,0.0,0.0
0.0,33650.045666826365,4.0
0.0,22933.415197819104,4.0
0.0,140410.10900753632,16.0
0.0,109290.14539948694,12.0
0.0,109290.14539948694,12.0
0.0,109290.14539948694,12.0
0.0,109290.14539948694,12.0
0.0,100392.87397535311,11.0
0.0,0.0,0.0
0.0,39337.14676624431,4.0
0.0,210289.11634547275,20.0
0.0,22271.472133363997,3.0
0.0,0.0,0.0
0.0,10180.349132319556,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,5456.714353263183,1.0
0.0,5456.714353263183,1.0
0.0,18282.213740335654,3.0
0.0,219650.89263343884,32.0
0.0,7789.887896446031,1.0
0.0,19030.663072280913,3.0
0.0,123618.14569091392,21.0
0.0,115621.59560919629,20.0
0.0,5509.937561090118,1.0
0.0,5509.937561090118,1.0
0.0,0.0,0.0
0.0,287185.4083551276,45.0
0.0,0.0,0.0
0.0,32737.715730838154,4.0
0.0,17423.47763672899,3.0
0.0,37748.8932903993,5.0
0.0,26003.362862879967,3.0
0.0,15567.194284388555,2.0
0.0,15567.194284388555,2.0
0.0,19596.68917115886,3.0
0.0,109290.14539948694,12.0
0.0,109290.14539948694,12.0
0.0,39337.14676624431,4.0
0.0,210289.11634547275,20.0
0.0,0.0,0.0
