keep_length,length_average,keep_num
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
58.17773883094117,7275.371370255548,1.0
77.83595410516892,7275.371370255548,1.0
77.75185892881638,7275.371370255548,1.0
77.75035803617133,7275.371370255548,1.0
78.53597797964372,7275.371370255548,1.0
77.7275753889956,7275.371370255548,1.0
77.77419091399474,7275.371370255548,1.0
526.5764439095399,55953.63293726635,6.0
61.23128721774012,35746.05972628349,2.0
102.89025049244287,35746.05972628349,2.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
414.19559055701535,151628.79994169265,20.0
1789.4610797920866,151628.79994169265,20.0
1640.8896372823658,151628.79994169265,20.0
1640.5682373882,151628.79994169265,20.0
1636.0638010815583,151628.79994169265,20.0
1636.3604825550315,151628.79994169265,20.0
1651.1902437938616,151628.79994169265,20.0
1746.8288387344755,170767.68139117552,22.0
2325.79495912896,186996.04686607086,24.0
1691.834350621306,144724.13447459126,19.0
1724.7226839125888,186092.87451110015,22.0
996.6237071906779,114134.97185062993,12.0
900.93704020986,78388.91212434643,10.0
859.6860970505903,72766.23181412104,9.0
862.9156794271647,72766.23181412104,9.0
866.0174444343656,72766.23181412104,9.0
534.8850671499389,58815.28212889172,8.0
80.57725943521919,26735.921120830637,4.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
48.62371376285827,7275.371370255548,1.0
1637.1733428192533,151628.79994169265,20.0
4.387170206942044,7275.371370255548,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
516.8488054912583,29121.438533730703,4.0
167.100011095816,15110.373090884603,2.0
632.7512116491562,87068.27575135481,12.0
1251.1384404679177,113326.64269697909,13.0
66.00511987449403,23311.540839754878,2.0
0.0,0.0,0.0
0.0,0.0,0.0
3.121426357300948,13950.949685229318,1.0
325.71698486730315,52150.56218167368,6.0
780.8759720387998,72766.23181412104,9.0
860.7155107334181,72766.23181412104,9.0
859.5251344458945,72766.23181412104,9.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
178.0288900993585,66050.41715484878,9.0
1258.1851738871796,156682.4199339606,21.0
68.56356181447359,5053.61999226796,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
601.5399410354547,38716.701534537846,5.0
120.38380668428833,15110.373090884603,2.0
120.89353453293569,15110.373090884603,2.0
518.0570631330272,95637.78216744961,12.0
832.1324526696903,113326.64269697909,13.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
419.3170277679237,42636.42083981219,5.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1141.3324355739428,151628.79994169265,20.0
261.94523052290833,97907.3741493674,13.0
21.81487243976965,8557.829819697403,1.0
106.09629606415722,8557.829819697403,1.0
494.33135737293117,50766.66834782266,8.0
869.8822820471455,50766.66834782266,8.0
879.1497439542077,50766.66834782266,8.0
868.1960574214452,50766.66834782266,8.0
860.4407637356039,50766.66834782266,8.0
1330.564038856769,69905.54979730559,10.0
168.99596280785377,20169.83267924341,3.0
121.31704936625098,15110.373090884603,2.0
24.1609466905444,5622.680310225395,1.0
1025.7899343913125,113326.64269697909,13.0
78.60920186277191,35746.05972628349,2.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
419.44066999655934,42636.42083981219,5.0
454.58069411348083,46357.643153844,6.0
254.84157995274458,28430.36754173017,4.0
78.33106231082539,7275.371370255548,1.0
78.39984665984636,7275.371370255548,1.0
78.15025275297197,7275.371370255548,1.0
78.03233429727476,7275.371370255548,1.0
25.858806675666152,7275.371370255548,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1309.6462244136433,151628.79994169265,20.0
983.6862018609219,96669.81650845567,15.0
1198.0333849808878,91616.1965161877,14.0
1130.9200989291726,91616.1965161877,14.0
1424.93363507714,99053.75558597033,16.0
176.29168504894102,33100.59831782285,4.0
658.7425424264055,129757.73629044322,20.0
1787.2241218066938,129757.73629044322,20.0
1083.4822909550128,129757.73629044322,20.0
902.6208505703083,64994.54164762353,9.0
